,Italian,English
454,vero,TRUE
455,durante,during
456,cento,hundred
457,cinque,five
458,ricordare,remember
459,passo,step
460,presto,early
461,tenere,hold
462,ovest,west
463,terra,ground
464,interesse,interest
465,raggiungere,reach
466,veloce,fast
467,verbo,verb
468,cantare,sing
469,ascoltare,listen
470,sei,six
471,tavolo,table
472,viaggi,travel
473,meno,less
474,mattina,morning
475,semplice,simple
476,alcuni,several
477,vocale,vowel
478,verso,toward
479,guerra,war
480,porre,lay
481,contro,against
482,modello,pattern
483,lento,slow
484,centro,center
485,amore,love
486,persona,person
487,soldi,money
488,servire,serve
489,apparire,appear
490,strada,road
491,mappa,map
492,pioggia,rain
493,regola,rule
494,governare,govern
495,tirare,pull
496,freddo,cold
497,avviso,notice
498,voce,voice
499,energia,energy
500,caccia,hunt
501,probabile,probable
502,letto,bed
503,fratello,brother
504,uovo,egg
505,giro,ride
506,cella,cell
507,credere,believe
508,forse,perhaps
509,scegliere,pick
510,improvviso,sudden
511,contare,count
512,piazza,square
513,motivo,reason
514,lunghezza,length
515,rappresentare,represent
516,arte,art
517,soggetto,subject
518,regione,region
519,dimensione,size
520,variare,vary
521,risolvere,settle
522,parlare,speak
523,peso,weight
524,generale,general
525,ghiaccio,ice
526,materia,matter
527,cerchio,circle
528,coppia,pair
529,includere,include
530,divide,divide
531,sillaba,syllable
532,feltro,felt
533,grande,grand
534,palla,ball
535,ancora,yet
536,onda,wave
537,cadere,drop
538,cuore,heart
539,am,am
540,presente,present
541,pesante,heavy
542,danza,dance
543,motore,engine
544,posizione,position
545,braccio,arm
546,ampio,wide
547,vela,sail
548,materiale,material
549,frazione,fraction
550,foresta,forest
551,sedersi,sit
552,gara,race
553,finestra,window
554,negozio,store
555,estate,summer
556,treno,train
557,sonno,sleep
558,dimostrare,prove
559,solitario,lone
560,gamba,leg
561,esercizio,exercise
562,muro,wall
563,prendere,catch
564,monte,mount
565,desiderio,wish
566,cielo,sky
567,pensione,board
568,gioia,joy
569,inverno,winter
570,sat,sat
571,scritto,written
572,selvaggio,wild
573,strumento,instrument
574,tenere,kept
575,vetro,glass
576,erba,grass
577,mucca,cow
578,lavoro,job
579,bordo,edge
580,segno,sign
581,visita,visit
582,passato,past
583,morbido,soft
584,divertimento,fun
585,luminoso,bright
586,gas,gas
587,tempo,weather
588,mese,month
589,milione,million
590,sopportare,bear
591,finitura,finish
592,felice,happy
593,speranza,hope
594,fiore,flower
595,vestire,clothe
596,strano,strange
597,gone,gone
598,commercio,trade
599,melodia,melody
600,viaggio,trip
601,ufficio,office
602,ricevere,receive
603,fila,row
604,bocca,mouth
605,esatto,exact
606,simbolo,symbol
607,morire,die
608,meno,least
609,difficoltà,trouble
610,shout,shout
611,tranne,except
612,ha scritto,wrote
613,seme,seed
614,tono,tone
615,aderire,join
616,suggerire,suggest
617,pulito,clean
618,pausa,break
619,signora,lady
620,cantiere,yard
621,salire,rise
622,male,bad
623,colpo,blow
624,olio,oil
625,sangue,blood
626,toccare,touch
627,è cresciuto,grew
628,cent,cent
629,mescolare,mix
630,team,team
631,filo,wire
632,costo,cost
633,perso,lost
634,marrone,brown
635,indossare,wear
636,giardino,garden
637,pari,equal
638,inviato,sent
639,scegliere,choose
640,caduto,fell
641,adattarsi,fit
642,flusso,flow
643,fiera,fair
644,banca,bank
645,raccogliere,collect
646,salvare,save
647,controllo,control
648,decimale,decimal
649,orecchio,ear
650,altro,else
651,abbastanza,quite
652,rotto,broke
653,caso,case
654,mezzo,middle
655,uccidere,kill
656,figlio,son
657,lago,lake
658,momento,moment
659,scala,scale
660,forte,loud
661,primavera,spring
662,osservare,observe
663,bambino,child
664,dritto,straight
665,consonante,consonant
666,nazione,nation
667,dizionario,dictionary
668,latte,milk
669,velocità,speed
670,metodo,method
671,organo,organ
672,pagare,pay
673,età,age
674,sezione,section
675,vestito,dress
676,nube,cloud
677,sorpresa,surprise
678,tranquillo,quiet
679,pietra,stone
680,piccolo,tiny
681,salita,climb
682,fresco,cool
683,design,design
684,povero,poor
685,lotto,lot
686,esperimento,experiment
687,fondo,bottom
688,chiave,key
689,ferro,iron
690,singolo,single
691,bastone,stick
692,appartamento,flat
693,venti,twenty
694,pelle,skin
695,sorriso,smile
696,piega,crease
697,foro,hole
698,salto,jump
699,bambino,baby
700,otto,eight
701,villaggio,village
702,si incontrano,meet
703,radice,root
704,acquistare,buy
705,aumentare,raise
706,risolvere,solve
707,metallo,metal
708,se,whether
709,spingere,push
710,sette,seven
711,paragrafo,paragraph
712,terzo,third
713,deve,shall
714,tenuto,held
715,capelli,hair
716,descrivere,describe
717,cuoco,cook
718,piano,floor
719,o,either
720,risultato,result
721,bruciare,burn
722,collina,hill
723,sicuro,safe
724,gatto,cat
725,secolo,century
726,considerare,consider
727,tipo,type
728,legge,law
729,bit,bit
730,costa,coast
731,copia,copy
732,frase,phrase
733,silenzioso,silent
734,alto,tall
735,sabbia,sand
736,suolo,soil
737,rotolo,roll
738,temperatura,temperature
739,dito,finger
740,industria,industry
741,valore,value
742,lotta,fight
743,bugia,lie
744,battere,beat
745,eccitare,excite
746,naturale,natural
747,vista,view
748,senso,sense
749,capitale,capital
750,non sarà,won’t
751,sedia,chair
752,pericolo,danger
753,frutta,fruit
754,ricco,rich
755,spesso,thick
756,soldato,soldier
757,processo,process
758,operare,operate
759,pratica,practice
760,separato,separate
761,difficile,difficult
762,medico,doctor
763,per favore,please
764,proteggere,protect
765,mezzogiorno,noon
766,raccolto,crop
767,moderno,modern
768,elemento,element
769,colpire,hit
770,studente,student
771,angolo,corner
772,partito,party
773,fornitura,supply
774,la cui,whose
775,individuare,locate
776,anello,ring
777,carattere,character
778,insetto,insect
779,catturato,caught
780,periodo,period
781,indicare,indicate
782,radio,radio
783,raggio,spoke
784,atomo,atom
785,umano,human
786,storia,history
787,effetto,effect
788,elettrico,electric
789,aspettare,expect
790,osso,bone
791,ferrovia,rail
792,immaginare,imagine
793,fornire,provide
794,concordare,agree
795,così,thus
796,dolce,gentle
797,donna,woman
798,capitano,captain
799,indovinare,guess
800,necessario,necessary
801,tagliente,sharp
802,ala,wing
803,creare,create
804,prossimo,neighbor
805,lavaggio,wash
806,pipistrello,bat
807,piuttosto,rather
808,folla,crowd
809,mais,corn
810,confrontare,compare
811,poesia,poem
812,stringa,string
813,campana,bell
814,dipendere,depend
815,carne,meat
816,strofinare,rub
817,tubo,tube
818,famoso,famous
819,dollaro,dollar
820,ruscello,stream
821,paura,fear
822,vista,sight
823,sottile,thin
824,triangolo,triangle
825,pianeta,planet
826,fretta,hurry
827,capo,chief
828,colonia,colony
829,orologio,clock
830,miniera,mine
831,cravatta,tie
832,inserire,enter
833,maggiore,major
834,fresco,fresh
835,ricerca,search
836,inviare,send
837,giallo,yellow
838,pistola,gun
839,consentire,allow
840,stampa,print
841,morto,dead
842,spot,spot
843,deserto,desert
844,tuta,suit
845,corrente,current
846,ascensore,lift
847,rosa,rose
848,arrivare,arrive
849,master,master
850,pista,track
851,genitore,parent
852,riva,shore
853,divisione,division
854,foglio,sheet
855,sostanza,substance
856,favorire,favor
857,collegare,connect
858,Messaggio,post
859,spendere,spend
860,accordo,chord
861,grasso,fat
862,felice,glad
863,originale,original
864,quota,share
865,stazione,station
866,papà,dad
867,pane,bread
868,carica,charge
869,corretto,proper
870,bar,bar
871,offerta,offer
872,segmento,segment
873,schiavo,slave
874,anatra,duck
875,immediato,instant
876,mercato,market
877,grado,degree
878,popolare,populate
879,pulcino,chick
880,caro,dear
881,nemico,enemy
882,rispondere,reply
883,bevanda,drink
884,verificarsi,occur
885,supporto,support
886,discorso,speech
887,natura,nature
888,gamma,range
889,vapore,steam
890,moto,motion
891,sentiero,path
892,liquido,liquid
893,log,log
894,significava,meant
895,quoziente,quotient
896,denti,teeth
897,guscio,shell
898,collo,neck
899,ossigeno,oxygen
900,zucchero,sugar
901,morte,death
902,piuttosto,pretty
903,abilità,skill
904,donne,women
905,stagione,season
906,soluzione,solution
907,magnete,magnet
908,argento,silver
909,grazie,thank
910,ramo,branch
911,partita,match
912,suffisso,suffix
913,particolarmente,especially
914,fico,fig
915,impaurito,afraid
916,enorme,huge
917,sorella,sister
918,acciaio,steel
919,discutere,discuss
920,avanti,forward
921,simile,similar
922,guidare,guide
923,esperienza,experience
924,punteggio,score (noun)
925,mela,apple
926,comprato,bought
927,portato,led
928,pece,pitch
929,cappotto,coat
930,massa,mass
931,scheda,card
932,banda,band (rubber)
933,corda,rope
934,slittamento,slip
935,vittoria,win
936,sognare,dream
937,sera,evening
938,condizione,condition
939,alimentazione,feed
940,strumento,tool
941,totale,total
942,di base,basic
943,odore,smell
944,valle,valley
945,né,nor
946,doppio,double
947,sedile,seat (in a car)
948,continuare,continue
949,blocco,a block
950,grafico,chart
951,cappello,hat
952,vendere,sell
953,successo,success
954,azienda,a company
955,sottrarre,subtract
956,evento,event
957,particolare,particular
958,affare,deal
959,nuoto,swim
960,termine,term
961,opposto,opposite
962,moglie,wife
963,scarpa,shoe
964,spalla,shoulder
965,spargere,spread
966,organizzare,arrange
967,campo,a camp
968,inventare,invent
969,cotone,cotton
970,nascita,birth
971,determinare,determine
972,quarto di gallone,quart
973,nove,nine
974,camion,truck
975,rumore,noise
976,livello,level
977,possibilità,a chance
978,raccogliere,gather
979,negozio,a shop
980,tratto,stretch (of land)
981,gettare,throw
982,brillare,shine
983,proprietà,property
984,colonna,column
985,molecola,molecule
986,selezionare,select
987,sbagliato,wrong
988,grigio,gray
989,ripetizione,repeat
990,richiedere,require
991,ampio,broad
992,preparare,prepare
993,sale,salt
994,naso,nose
995,plurale,plural
996,rabbia,anger
997,richiesta,claim
998,continente,continent
